Αττική-Κορυδαλλός Tsoras Nuts,,23.6513,37.9872,,Κορυδαλλός Αττικής,Μικράς Ασίας,34
Αττική-Κορυδαλλός Το Φρέσκο,,23.65685,37.98446,,Κορυδαλλός Αττικής,Ταξιαρχών,133
Αττική-Κορωπί,,23.87508,37.89777,,Κορωπί Αττικής,Λεωφόρος Βασιλέως Κωνσταντίνου,233
Αττική-Κορωπί Musses,,23.87598,37.89675,,Κορωπί Αττικής,Λεωφόρος Βασιλέως Κωνσταντίνου,268
Αττική-Κυψέλη Delizioso,,23.74144,38.00236,,Κυψέλη Αττικής,Πλατεία Κανάρη,15
Αττική-Μαρούσι - ΑΝΤΩΝΑΤΟΣ Α. - ΑΝΤΩΝΑΤΟΣ Ε. ΟΕ,Τηλ. 2106196204 (GMap),23.81433,38.04303,15125,Μαρούσι,Σώρου,65
Αττική-Μοσχάτο - ΚΑΡΑΛΗΣ ΓΙΑΝΝΗΣ,Τηλ. 2109420130 (GMap),23.68778,37.95694,18345,Μοσχάτο,Ρούμελης,12
Αττική-Νέα Ερυθραία - ΘΕΟΔΩΡΑΚΟΠΟΥΛΟΣ ΒΑΣΙΛΕΙΟΣ & ΣΙΑ ΟΕ,Τηλ. 2108072500 - Φαξ 2108000643   - Κιν. 6978009916 (GMap),23.81319,38.10139,14671,Νέα Ερυθραία,Τατοΐου,160
Αττική-Νέα Ιωνία Ελπήνωρ,,23.76617,38.04062,,Νέα Ιωνία Αττικής,Κασταμονής,32
Αττική-Νέα Μάκρη Μαρία,,23.9797,38.084,,Νέα Μάκρη Αττικής,Λιβυσσίου,
Αττική-Νέα Σμύρνη - DINOS CAVA,Τηλ. 2109533569 (GMap),23.71719,37.95211,17121,Νέα Σμύρνη,Αιγαίου,26
Αττική-Νέα Σμύρνη Musses,,23.71375,37.94787,,Νέα Σμύρνη Αττικής,Αγίας Φωτεινής,47
Αττική-Νίκαια,,23.65916,37.97198,,Νίκαια Αττικής,Ολύμπου,17
Αττική-Νίκαια Musses,,23.65063,37.96717,,Νίκαια Αττικής,7ης Μαρτίου 1944,43
Αττική-Παγκράτι,,23.74744,37.96661,,Παγκράτι Αττικής,Ασπασίας,9
Αττική-Παγκράτι,,23.74946,37.9682,,Παγκράτι Αττικής,Ιφικράτους,1
Αττική-Παγκράτι Biscottino,,23.75124,37.96599,,Παγκράτι Αττικής,Φιλολάου,44
Αττική-Παγκράτι Αρκάδικο Κελάρι,,23.75239,37.96429,,Παγκράτι Αττικής,Νικηφορίδη,11
Αττική-Παγκράτι Κελάρι του Θωμά,,23.74521,37.96257,,Παγκράτι Αττικής,Φιλολάου,132
Αττική-Παγκράτι Οινάνθη,,23.75019,37.96736,,Παγκράτι Αττικής,Ιφικράτους,9
Αττική-Παλαιό Φάληρο,,23.70567,37.92821,,Παλαιό Φάληρο Αττικής,Αχιλλέως,84
Αττική-Παλαιό Φάληρο,,23.72017,37.92334,,Παλαιό Φάληρο Αττικής,Δαιδάλου,26
Αττική-Παλαιό Φάληρο,,23.70054,37.9276,,Παλαιό Φάληρο Αττικής,Αρτέμιδος,101
Αττική-Παλαιό Φάληρο,,23.71232,37.922,,Παλαιό Φάληρο Αττικής,Λεωφόρος Αγίας Βαρβάρας,50
Αττική-Παλαιό Φάληρο,,23.71245,37.92197,,Παλαιό Φάληρο Αττικής,Λεωφόρος Αγίας Βαρβάρας,49
Αττική-Παλαιό Φάληρο,,23.69427,37.9291,,Παλαιό Φάληρο Αττικής,Αγίου Αλεξάνδρου,46
Αττική-Παλαιό Φάληρο,,23.70754,37.93196,,Παλαιό Φάληρο Αττικής,Παντελή Λινού,46
Αττική-Παλαιό Φάληρο Ganava Roussos,,23.69897,37.93937,,Παλαιό Φάληρο Αττικής,Συνταγματάρχου Ζησιμόπουλου,22
Αττική-Παλαιό Φάληρο Αλκυόνη,,23.70251,37.92257,,Παλαιό Φάληρο Αττικής,Αλκυόνης,87
Αττική-Παλαιό Φάληρο Άμπελος,,23.70424,37.93334,,Παλαιό Φάληρο Αττικής,Ανδρομάχης,32
Αττική-Παλαιό Φάληρο Εις Υγείαν,,23.70299,37.92947,,Παλαιό Φάληρο Αττικής,Λεωφόρος Αμφιθέας,103
Αττική-Παλαιό Φάληρο Κελάρι,,23.70072,37.9221,,Παλαιό Φάληρο Αττικής,Αμφιτρίτης,73
Αττική-Παλαιό Φάληρο Μέθη,,23.6993,37.93305,,Παλαιό Φάληρο Αττικής,Συνταγματάρχου Ζησιμοπούλου,92
Αττική-Παλαιό Φάληρο Ποτοπηγή,,23.70849,37.92892,,Παλαιό Φάληρο Αττικής,Αχιλλέως,106
Αττική-Παλαιό Φάληρο Φλοίσβος,,23.6907,37.93137,,Παλαιό Φάληρο Αττικής,Νηρέως,40
Αττική-Παλαιό Φάληρο Φυστίκι,,23.6936,37.9262,,Παλαιό Φάληρο Αττικής,Αλκυόνης,24
Αττική-Παλαιό Φάληρο Χαρά,,23.70051,37.92326,,Παλαιό Φάληρο Αττικής,Αχιλλέως,21
Αττική-Περιστέρι,,23.7008,38.01872,,Περιστέρι Αττικής,Ηρακλέους,6
Αττική-Περιστέρι,,23.69416,38.01667,,Περιστέρι Αττικής,Σκρά,29
Αττική-Περιστέρι,,23.70109,38.00509,,Περιστέρι Αττικής,Βασιλέως Γεωργίου Β,58
